t x y z qx qy qz qw rx_deg ry_deg rz_deg
282.000000 0.636187110 2.794485980 2.516146740 -0.007175832 -0.036009110 0.005882222 0.999308386 -0.848218362 -4.122204659 0.705038410 
283.000000 0.583147140 2.865168550 2.609690700 -0.003723077 -0.034224882 0.005692018 0.999391013 -0.449753694 -3.920123551 0.668039565 
284.000000 0.684240540 2.987809330 2.683566430 0.001797676 -0.040177114 0.006961340 0.999166707 0.174340552 -4.606516842 0.791350991 
285.000000 0.804960320 2.958469350 2.718881920 -0.002136746 -0.041066289 0.008345920 0.999119282 -0.284873162 -4.704947961 0.968895800 
286.000000 0.909565620 3.111061580 2.758654150 0.003470782 -0.040233121 0.008351882 0.999149386 0.360048269 -4.614763964 0.943340104 
287.000000 1.122320460 3.306692510 2.808638740 0.012963576 -0.055191040 0.010838851 0.998332817 1.423348831 -6.342932784 1.165195556 
288.000000 1.150141610 3.359862010 2.799829620 0.010914381 -0.054620274 0.010442730 0.998392934 1.190541701 -6.274558457 1.133274500 
289.000000 1.238752070 3.509976360 2.806722430 0.019598633 -0.055505819 0.010002732 0.998215880 2.192338481 -6.384821222 1.025944565 
290.000000 1.513174050 3.503449290 2.774653550 0.017087549 -0.063483811 0.008279365 0.997802222 1.909359649 -7.294623058 0.829092339 
291.000000 1.602747370 3.548418740 2.792592140 0.022660664 -0.066474899 0.008971037 0.997490402 2.545317503 -7.644299266 0.860487707 
292.000000 1.797322270 3.591103060 2.798783840 0.023676230 -0.073814881 0.008089839 0.996958050 2.666558610 -8.485768798 0.731973364 
293.000000 1.904115700 3.676365210 2.826737240 0.025133991 -0.074968058 0.008648249 0.996831621 2.829832630 -8.620887578 0.780803241 
294.000000 2.111603960 3.692963370 2.830634440 0.022895336 -0.080707119 0.009197829 0.996432418 2.563583693 -9.280012815 0.849639964 
295.000000 2.237553890 3.776753210 2.873637700 0.026846761 -0.082956281 0.008666511 0.996153803 3.025424426 -9.540211606 0.744397624 
296.000000 2.395194010 3.920238610 2.935856050 0.030285839 -0.088419689 0.008977148 0.995582311 3.419964400 -10.171893297 0.728774173 
297.000000 2.537863980 4.015645240 2.923858740 0.037050691 -0.090741710 0.010151376 0.995133226 4.192678232 -10.448543907 0.785386240 
298.000000 2.167144200 3.559935610 2.565789860 0.006909664 -0.058725033 0.010445987 0.998195626 0.725097314 -6.741063093 1.156436895 
299.000000 2.297696240 3.588748000 2.555100190 0.006283246 -0.063801512 0.010957860 0.997882665 0.643632236 -7.323449267 1.217101503 
300.000000 2.490951180 3.763027530 2.560352050 0.017121513 -0.069506471 0.011008765 0.997373807 1.887816132 -7.991421920 1.132903050 
301.000000 2.583365620 3.757476050 2.571255520 0.015162456 -0.073994725 0.014948012 0.997031312 1.623681428 -8.511239086 1.597059003 
302.000000 2.638620700 3.784275070 2.514498200 0.013637751 -0.078861361 0.015248572 0.996675664 1.437898670 -9.068449333 1.639013753 
303.000000 2.705887930 3.819636320 2.459579800 0.013152245 -0.080723271 0.016942291 0.996505761 1.363133104 -9.283990401 1.837377594 
304.000000 2.810139480 3.866387110 2.461935230 0.014988049 -0.084460095 0.016887933 0.996170994 1.570199255 -9.716871622 1.808992446 
305.000000 2.915936550 3.785696640 2.452303180 0.010135692 -0.088646234 0.017547020 0.995857025 0.994138529 -10.190040120 1.930256955 
306.000000 3.047928910 3.924522470 2.442629960 0.017581928 -0.093533301 0.019931894 0.995261331 1.823997615 -10.770820784 2.122630516 
307.000000 3.114842300 4.184801520 2.424862080 0.031161643 -0.096367595 0.023129704 0.994588988 3.361296482 -11.135726941 2.336640546 
308.000000 3.170449570 4.192411250 2.448182730 0.028559187 -0.096985391 0.021495564 0.994643729 3.076207160 -11.195634744 2.174511235 
309.000000 3.384550540 4.116291490 2.514846650 0.023213582 -0.103010222 0.020766770 0.994192519 2.452728948 -11.875639106 2.138109483 
310.000000 3.528390780 4.228302770 2.640754660 0.031784090 -0.106181167 0.019089656 0.993655331 3.467873851 -12.252977739 1.828867508 
311.000000 3.563892120 4.227262230 2.626091150 0.027337336 -0.102088646 0.020048790 0.994197478 2.943122640 -11.776158184 2.006928269 
312.000000 3.585206060 4.209514440 2.622173230 0.026237219 -0.102662238 0.021094253 0.994146421 2.801533329 -11.842934198 2.140462763 
313.000000 3.662150590 4.291515730 2.595395940 0.030178036 -0.105935332 0.023014301 0.993648496 3.231882516 -12.234542299 2.307162937 
314.000000 3.823275990 4.361868660 2.605383960 0.030903214 -0.111581551 0.022403052 0.993021980 3.315366461 -12.884741469 2.210338156 
315.000000 3.914549820 4.450259740 2.623777440 0.031187804 -0.113576056 0.024507482 0.992737218 3.317371075 -13.122338526 2.446661797 
316.000000 4.045937280 4.466909490 2.664521170 0.029049300 -0.117679033 0.025456649 0.992300228 3.046623159 -13.593088084 2.575922054 
317.000000 4.159579520 4.442221090 2.785411750 0.028822586 -0.121636278 0.025973765 0.991816131 3.005001021 -14.050611970 2.629849065 
318.000000 4.237936540 4.351367670 2.894625660 0.025322703 -0.122016405 0.027474569 0.991824534 2.572104054 -14.089022648 2.855597814 
319.000000 4.361305940 4.385695140 2.979293700 0.026830661 -0.123467794 0.027885172 0.991593786 2.739641303 -14.261992136 2.878835385 
320.000000 4.491625880 4.397892500 3.049573090 0.026516303 -0.128158001 0.028286117 0.990995615 2.685883011 -14.803695743 2.920927772 
321.000000 4.565427290 4.413590710 3.065396350 0.027911392 -0.132404071 0.028467441 0.990393720 2.837435400 -15.298835907 2.911700297 
322.000000 4.600219900 4.422916660 3.092152320 0.027395225 -0.132208671 0.027627251 0.990458027 2.790360870 -15.272376658 2.821340469 
323.000000 4.546194940 4.349163330 3.017941370 0.022065766 -0.121907260 0.029506397 0.991857396 2.161115492 -14.071431981 3.141186281 
324.000000 4.636433320 4.316383880 3.013111980 0.022200638 -0.123966626 0.032647830 0.991500644 2.125069287 -14.316353661 3.504960022 
325.000000 4.681507890 4.290076470 2.990871160 0.020499903 -0.127873305 0.032940615 0.991031325 1.908704149 -14.761939593 3.560199990 
326.000000 4.714027420 4.330908350 3.056033300 0.021810691 -0.129734951 0.034565293 0.990705999 2.031729625 -14.985001006 3.729188356 
327.000000 4.839659450 4.339264490 3.116449740 0.019006208 -0.133072347 0.035726033 0.990279842 1.671961224 -15.361947201 3.906785242 
328.000000 4.903656560 4.444414940 3.138993590 0.024667522 -0.132954124 0.039861605 0.990013013 2.273131353 -15.379978102 4.304416848 
329.000000 5.070637050 4.413761320 3.146144980 0.020892202 -0.137880192 0.039602317 0.989436317 1.813001557 -15.932344650 4.330365090 
330.000000 5.086956250 4.495052790 3.108641860 0.023613324 -0.135973664 0.040250873 0.989612773 2.130838853 -15.725177949 4.363962084 
331.000000 5.109193020 4.488739620 3.109703940 0.025025548 -0.135114906 0.040191797 0.989698087 2.301610314 -15.631991755 4.335048059 
332.000000 5.117410240 4.495634050 3.149162350 0.026512181 -0.135756249 0.041732832 0.989507815 2.449264494 -15.716436035 4.491982126 
333.000000 5.173719040 4.596044400 3.157382720 0.028825628 -0.142037192 0.042570134 0.988525317 2.683232416 -16.455402692 4.543702673 
334.000000 4.942229070 4.507826960 3.126283880 0.020748243 -0.128793503 0.043562570 0.990496868 1.771815098 -14.888973853 4.805015160 
335.000000 4.917465930 4.551715790 3.188502270 0.023929645 -0.126066312 0.046013141 0.990665154 2.120725720 -14.594778122 5.046975467 
336.000000 4.960135480 4.602654070 3.224102100 0.025045628 -0.125665366 0.045713807 0.990702367 2.258064927 -14.553494637 4.995460351 
337.000000 5.004735130 4.687931190 3.266223530 0.027151385 -0.128937943 0.045228135 0.990248567 2.497935412 -14.940584198 4.902571844 
338.000000 4.980265060 4.662126060 3.308197830 0.026368584 -0.126933375 0.045592894 0.990511940 2.409394512 -14.706192644 4.959920838 
339.000000 4.962970120 4.692080980 3.396889260 0.024645211 -0.124962086 0.045618256 0.990805766 2.215754813 -14.470106794 4.990925555 
